model,MAE,RMSE,MAPE,R2,EVS
LAS,76.81050502631183,91.43555388342904,0.016582466837649308,0.9964193021199084,0.9967192334933885
LIN,85.28832408677873,102.17085934739927,0.018267312819573216,0.9950957607306437,0.9955116178683354
RID,104.33150496356788,126.00607009609254,0.024225387236955304,0.9936770110354214,0.9940273401129373
XGBR,300.1716107855903,383.15595177536204,0.06452323564642796,0.9452459760284061,0.9519526361352366
RFR,331.45954814814814,417.9792009240585,0.07704296382479174,0.9280270707879168,0.9335046524979693
CATR,330.16141978312197,418.25512080660747,0.07950996776025614,0.9342234846079824,0.9386734592792537
DTR,391.70444444444445,489.5368886277729,0.08549324464449536,0.9047546798864392,0.9129890833145392
ENR,439.87466249442986,498.8602559897919,0.09892032877647365,0.9053842428609178,0.9121722330878443
KNR,509.2466666666666,576.5463693566113,0.10872429837230826,0.8630879090875248,0.8721376294718508
LGBR,1488.4035897435897,1675.764390937762,0.35387881017672623,-0.0217944099379467,0.0
MLP,4533.705245263281,4751.31476669384,0.9160547424085564,-7.554933089451498,0.26990332161094405
